,Province,Year,Population,GDI,GEM,FemaleLE,MaleLE,FemaleASY,MaleASY,FemaleESY,MaleESY,FemaleEPC,MaleEPC,FemaleHDI,MaleHDI,FemaleSI,MaleSI,FemaleIP,MaleIP,FemaleMS,MaleMS,FemalePS,MalePS
0,Aceh,2010,4494400.0,89.05,53.4,71.09,67.17,7.76,8.57,13.21,12.61,6028110.0,11530830.0,63.47,71.27,0.31670000000000004,0.6833,0.057999999999999996,0.942,,,0.5114,0.48860000000000003
1,Aceh,2011,4619000.0,89.3,52.06,71.16,67.25,7.78,8.7,13.27,12.8,6284740.0,11618490.0,64.07,71.75,0.31670000000000004,0.6833,0.0435,0.9565,,,0.5376,0.46240000000000003
2,Aceh,2012,4715100.0,90.32,54.44,71.22,67.32,7.91,8.82,13.6,12.81,6552290.0,11706820.0,65.03,72.0,0.3214,0.6786,0.057999999999999996,0.942,,,0.5212,0.4788
3,Aceh,2013,4811100.0,90.61,59.78,71.3,67.4,8.02,8.88,13.63,13.11,6821870.0,11795150.0,65.68,72.49,0.3271,0.6729,0.1014,0.8986,,,0.5314,0.4686
4,Aceh,2014,4906800.0,91.5,65.12,71.34,67.44,8.33,9.12,13.75,13.33,7269080.0,11884150.0,66.89,73.1,0.3329,0.6671,0.1481,0.8519,,,0.5328,0.46719999999999995
5,Aceh,2015,5002000.0,92.07,65.57,71.49,67.59,8.4,9.16,14.05,13.43,7410720.0,11936790.0,67.54,73.36,0.3372,0.6628000000000001,0.1481,0.8519,0.1547,0.8452999999999999,0.5243,0.4757
6,Aceh,2016,5096200.0,91.89,67.4,71.52,67.61,8.54,9.19,14.11,13.67,7531000.0,12286000.0,67.94,73.94,0.34509999999999996,0.6549,0.16,0.84,0.1818,0.8182,0.517,0.483
7,Aceh,2017,5189500.0,91.67,66.28,71.55,67.62,8.62,9.36,14.32,13.95,7641000.0,12551000.0,68.41,74.63,0.3456,0.6544,0.1481,0.8519,0.20800000000000002,0.792,0.5471,0.45289999999999997
8,Aceh,2018,5281300.0,91.67,66.6,71.67,67.73,8.71,9.49,14.46,14.1,7853000.0,12917000.0,69.0,75.27,0.3457,0.6543,0.1481,0.8519,0.20559999999999998,0.7944,0.5468999999999999,0.45310000000000006
9,Aceh,2019,5371500.0,91.84,63.31,71.85,67.98,8.85,9.52,14.47,14.19,8212000.0,13496000.0,69.75,75.95,0.34590000000000004,0.6540999999999999,0.11109999999999999,0.8889,0.2613,0.7387,0.5392,0.4608
10,Aceh,2020,5274870.0,92.07,63.47,71.91,68.04,9.13,9.54,14.48,14.25,8103000.0,13351000.0,69.94,75.96,0.3483,0.6517,0.11109999999999999,0.8889,0.3261,0.6738999999999999,0.5273,0.4727
11,Aceh,2021,5333730.0,92.23,63.24,71.94,68.07,9.22,9.55,14.53,14.26,8162000.0,13484000.0,70.18,76.09,0.3467,0.6533,0.11109999999999999,0.8889,0.306,0.694,0.5442,0.4558
